Plant ID,Date,Site,Obsday,Type,Conc,Photo_ID,Volume,Comments
KO01,10/04/2022,Nagpur,1,LB,2.60%,,,
KO02,10/04/2022,Nagpur,1,LB,1.20%,,,
KO04,10/04/2022,Nagpur,1,LB,2.40%,,,
KO05,10/04/2022,Nagpur,1,LB,2.60%,,,
KO05,10/04/2022,Nagpur,1,S,2%,,,
KO07,10/04/2022,Nagpur,1,LB,1.20%,,,
KO11,10/04/2022,Nagpur,1,LB,0.60%,,,
KO12,10/04/2022,Nagpur,1,LB,1.20%,,,
KO12,10/04/2022,Nagpur,1,S,1.20%,,,
KO14,10/04/2022,Nagpur,1,LB,5%,,,
KO14,10/04/2022,Nagpur,1,S,10%,,,
KO15,10/04/2022,Nagpur,1,LB,5.40%,,,
KO15,10/04/2022,Nagpur,1,S,19.80%,,,
KO01,11/04/2022,Nagpur,2,LB,2.20%,,,
KO05,11/04/2022,Nagpur,2,LB,3%,,,
KO07,11/04/2022,Nagpur,2,LB,2%,,,
KO09,11/04/2022,Nagpur,2,LB,0.90%,,,
KO11,11/04/2022,Nagpur,2,LB,0.40%,,,
KO12,11/04/2022,Nagpur,2,LB,7.60%,,,
KO13,11/04/2022,Nagpur,2,LB,0.60%,,,
KO14,11/04/2022,Nagpur,2,LB,2.20%,,,
KO14,11/04/2022,Nagpur,2,S,2%,,,
KO01,12/04/2022,Nagpur,3,LB,1.60%,,,
KO02,12/04/2022,Nagpur,3,LB,7.40%,,,
KO05,12/04/2022,Nagpur,3,LB,3.80%,,,
KO07,12/04/2022,Nagpur,3,LB,1%,,,
KO11,12/04/2022,Nagpur,3,LB,8.80%,,,
KO14,12/04/2022,Nagpur,3,LB,1.40%,,,
KO05,13/04/2022,Nagpur,4,LB,9%,,,
KO12,13/04/2022,Nagpur,4,LB,1.40%,,,
KO12,13/04/2022,Nagpur,4,S,2%,,,
KA01,28/04/2022,Kanyakumari,2,LB,2.60%,,,Micropipette at 5.5
KA02,28/04/2022,Kanyakumari,2,S,1.20%,,,Micropipette at 5.3
AL02,07/05/2022,Aligarh,1,LB,1.40%,,,
AL03,07/05/2022,Aligarh,1,S,1.20%,,,
AL09,08/05/2022,Aligarh,2,LB,0.40%,,,
AL09,08/05/2022,Aligarh,2,S,0%,,,
AL03,08/05/2022,Aligarh,2,LB,0.40%,,,
AL03,08/05/2022,Aligarh,2,S,0%,,,
AL06,08/05/2022,Aligarh,2,S,0%,,,
AL05,08/05/2022,Aligarh,2,LB,0%,,,
AL07,08/05/2022,Aligarh,2,LB,0%,,,
AL07,08/05/2022,Aligarh,2,S,0%,,,
AL03,09/05/2022,Aligarh,3,LB,0%,,,
AL05,09/05/2022,Aligarh,3,LB,0.20%,,,
BA07,15/05/2022,Bangalore,1,LB,0.60%,,,
BA16,15/05/2022,Bangalore,1,LB,1.60%,,,
BA17,15/05/2022,Bangalore,1,LB,0.40%,,,
BA15,16/05/2022,Bangalore,2,LB,0.20%,,,
HY01,25/05/2022,Hyderabad,1,LB,1%,,,
HY01,25/05/2022,Hyderabad,1,S,0.80%,,,
HY02,25/05/2022,Hyderabad,1,S,2.20%,,,
HY03,25/05/2022,Hyderabad,1,S,1.80%,,,
HY04,25/05/2022,Hyderabad,1,LB,2%,,,
HY05,25/05/2022,Hyderabad,1,LB,0.80%,,,
HY05,25/05/2022,Hyderabad,1,S,1.20%,,,
HY07,25/05/2022,Hyderabad,1,S,0.00%,,,
HY09,25/05/2022,Hyderabad,1,LB,2%,,,
HY10,25/05/2022,Hyderabad,1,LB,0.60%,,,
HY11,25/05/2022,Hyderabad,1,S,0.60%,,,
HY15,25/05/2022,Hyderabad,1,LB,0.80%,,,
HY15,25/05/2022,Hyderabad,1,S,1.80%,,,
HY01,27/05/2022,Hyderabad,3,S,2%,,,
HY02,27/05/2022,Hyderabad,3,S,1%,,,
HY03,27/05/2022,Hyderabad,3,S,1.20%,,,
HY04,27/05/2022,Hyderabad,3,S,1.40%,,,
HY07,27/05/2022,Hyderabad,3,S,0.40%,,,
HY10,27/05/2022,Hyderabad,3,LB,0.80%,,,
HY14,27/05/2022,Hyderabad,3,LB,0.60%,,,
HY01,28/05/2022,Hyderabad,4,S,1.20%,,,
HY03,28/05/2022,Hyderabad,4,LB,2.60%,,,
HY03,28/05/2022,Hyderabad,4,S,2.80%,,,
HY08,28/05/2022,Hyderabad,4,LB,1%,,,
HY14,28/05/2022,Hyderabad,4,LB,3.60%,,,
HY14,28/05/2022,Hyderabad,4,S,1.80%,,,
HY15,28/05/2022,Hyderabad,4,LB,2%,,,
HA15,01/06/2022,Hampi,1,LB,14%,,,
HA16,01/06/2022,Hampi,1,LB,1%,,,
HA06,02/06/2022,Hampi,2,S,4.20%,,,
HA08,02/06/2022,Hampi,2,S,0.60%,,,
HA09,02/06/2022,Hampi,2,S,1%,,,
HA14,02/06/2022,Hampi,2,S,1.20%,,,
HA15,02/06/2022,Hampi,2,S,5.20%,,,
HA06,04/06/2022,Hampi,3,S,2.40%,,,
HA09,04/06/2022,Hampi,3,S,0%,,,
HA10,04/06/2022,Hampi,3,S,1%,,,
HA11,04/06/2022,Hampi,3,LB,0.80%,,,
HA14,04/06/2022,Hampi,3,LB,2%,,,
HA15,04/06/2022,Hampi,3,S,0.60%,,,
BH02,11/06/2022,Bhopal,2,S,8%,,,
BH04,11/06/2022,Bhopal,2,S,1.80%,,,
BH07,11/06/2022,Bhopal,2,S,10.40%,,,
BH10,11/06/2022,Bhopal,2,S,3%,,,
BH14,11/06/2022,Bhopal,2,LB,1%,,,
PB02,05/08/2022,Port Blair,,LB,4%,,,
PB02,05/08/2022,Port Blair,,S,4%,,,
PB05,05/08/2022,Port Blair,,LB,1%,,,
PB06,05/08/2022,Port Blair,,LB,1%,,,
PB06,05/08/2022,Port Blair,,S,0.40%,,,
PB08,05/08/2022,Port Blair,,S,1.40%,,,
PB08,05/08/2022,Port Blair,,LB,5%,,,
PB09,05/08/2022,Port Blair,,S,0.40%,,,